Date,RentalPrice
2015-01-01,1104.2669231530774
2015-02-01,1104.2669231530774
2015-03-01,1104.2669231530774
2015-04-01,1104.2669231530774
2015-05-01,1104.2669231530774
2015-06-01,1104.2669231530774
2015-07-01,1104.2669231530774
2015-08-01,1104.2669231530774
2015-09-01,1104.2669231530774
2015-10-01,1104.2669231530774
2015-11-01,1104.2669231530774
2015-12-01,1104.2669231530774
2016-01-01,1104.2669231530774
2016-02-01,1104.2669231530774
2016-03-01,1104.2669231530774
2016-04-01,1104.2669231530774
2016-05-01,1104.2669231530774
2016-06-01,1104.2669231530774
2016-07-01,1104.2669231530774
2016-08-01,1104.2669231530774
2016-09-01,1104.2669231530774
2016-10-01,1104.2669231530774
2016-11-01,1104.2669231530774
2016-12-01,1104.2669231530774
2017-01-01,1104.2669231530774
2017-02-01,1104.2669231530774
2017-03-01,1104.2669231530774
2017-04-01,1104.2669231530774
2017-05-01,1104.2669231530774
2017-06-01,1104.2669231530774
2017-07-01,1104.2669231530774
2017-08-01,1104.2669231530774
2017-09-01,1104.2669231530774
2017-10-01,1104.2669231530774
2017-11-01,1104.2669231530774
2017-12-01,1104.2669231530774
2018-01-01,1104.2669231530774
2018-02-01,1104.2669231530774
2018-03-01,1104.2669231530774
2018-04-01,1104.2669231530774
2018-05-01,1104.2669231530774
2018-06-01,1104.2669231530774
2018-07-01,1104.2669231530774
2018-08-01,1104.2669231530774
2018-09-01,1104.2669231530774
2018-10-01,1104.2669231530774
2018-11-01,1104.2669231530774
2018-12-01,1104.2669231530774
2019-01-01,1104.2669231530774
2019-02-01,1104.2669231530774
2019-03-01,1104.2669231530774
2019-04-01,1104.2669231530774
2019-05-01,1104.2669231530774
2019-06-01,1104.2669231530774
2019-07-01,1104.2669231530774
2019-08-01,1104.2669231530774
2019-09-01,1104.2669231530774
2019-10-01,1104.2669231530774
2019-11-01,1104.2669231530774
2019-12-01,1104.2669231530774
2020-01-01,1104.2669231530774
2020-02-01,1104.2669231530774
2020-03-01,1104.2669231530774
2020-04-01,1104.2669231530774
2020-05-01,1104.2669231530774
2020-06-01,1104.2669231530774
2020-07-01,1104.2669231530774
2020-08-01,1104.2669231530774
2020-09-01,1104.2669231530774
2020-10-01,1104.2669231530774
2020-11-01,1104.2669231530774
2020-12-01,1104.2669231530774
2021-01-01,1104.2669231530774
2021-02-01,1104.2669231530774
2021-03-01,1104.2669231530774
2021-04-01,1104.2669231530774
2021-05-01,1104.2669231530774
2021-06-01,1104.2669231530774
2021-07-01,1104.2669231530774
2021-08-01,1104.2669231530774
2021-09-01,1104.2669231530774
2021-10-01,1104.2669231530774
2021-11-01,1104.2669231530774
2021-12-01,1104.2669231530774
2022-01-01,1104.2669231530774
2022-02-01,1104.2669231530774
2022-03-01,1104.2669231530774
2022-04-01,1104.2669231530774
2022-05-01,1104.2669231530774
2022-06-01,1104.2669231530774
2022-07-01,1104.2669231530774
2022-08-01,1104.2669231530774
2022-09-01,1104.2669231530774
2022-10-01,1104.2669231530774
2022-11-01,1104.2669231530774
2022-12-01,1104.2669231530774
2023-01-01,1104.2669231530774
2023-02-01,1104.2669231530774
2023-03-01,1104.2669231530774
2023-04-01,1104.2669231530774
2023-05-01,1104.2669231530774
2023-06-01,1096.3177122047314
2023-07-01,1105.1039546270513
2023-08-01,1097.221437936185
2023-09-01,1118.8227600212942
2023-10-01,1129.2807539382864
2023-11-01,1140.0971278511786
2023-12-01,1140.0600243751426
2024-01-01,1149.1711455568825
2024-02-01,1168.1045187321604
2024-03-01,1182.228535653085
2024-04-01,1187.6817825992482
2024-05-01,1178.7779296663064
2024-06-01,1183.7124749184104
2024-07-01,1199.2980217522518
2024-08-01,1194.1413282523788
2024-09-01,1179.95075307612
2024-10-01,1184.946613044425
2024-11-01,1200.1935726733395
2024-12-01,1215.5710471002478
2025-01-01,1212.8372248290682
2025-02-01,1200.2516975584033
2025-03-01,1198.6024011175923
2025-04-01,1212.1248511640565
2025-05-01,1224.2083745184193
2025-06-01,1237.7269576202598
2025-07-01,1234.878163966503
2025-08-01,1256.4336758933075
2025-09-01,1273.231192277165
2025-10-01,1281.2878787878788
